chola	3	4	0.031812	0.0028072
cholo	4	3	0.0416673	0.0031475
chubs	4	4	0.038254	0.0217633
chuck	4	4	0.0409412	0.0327786
churl	3	3	0.0165351	0.0019852
chyle	4	3	0.0337278	0.0017621
cibol	4	4	0.0341169	0.0119498
cimex	4	4	0.0221575	0.0157905
cinch	4	4	0.0314379	0.030962
cines	4	5	0.0161125	0.0123013
cists	4	4	0.0234488	0.0270945
citer	4	3	0.0147476	0.0120617
cites	4	5	0.0172639	0.0123629
civvy	5	4	0.0363306	0.0345651
clach	4	4	0.0392193	0.0030823
clack	4	4	0.0383561	0.0039456
clade	3	3	0.0237137	0.0012078
clags	4	4	0.0324234	0.0019083
clams	4	4	0.0321323	0.0024284
clang	4	3	0.0334917	0.0020776
clean	3	4	0.0074537	0.0050861
cleat	3	4	0.0074491	0.0030427
clept	4	4	0.0335257	0.0075474
clews	4	4	0.0293263	0.0025764
click	4	4	0.0313715	0.0091827
clift	4	4	0.0346524	0.0090454
clips	4	4	0.0228351	0.004217
clone	3	3	0.0299915	0.007422
cloth	4	3	0.0402643	0.0082197
clour	3	4	0.0168047	0.0024087
cloze	4	4	0.032994	0.0120153
clues	4	4	0.030566	0.0025883
coals	3	3	0.0286523	0.0004034
coble	4	4	0.0346998	0.0021974
cocks	4	5	0.038741	0.0220119
cocky	5	5	0.0452589	0.0299322
cocoa	4	4	0.0353233	0.0230847
coder	3	3	0.016047	0.0120217
codex	4	3	0.0325807	0.0153387
codon	4	4	0.0422488	0.0359144
cogon	4	4	0.040144	0.0314957
cokes	4	5	0.0320599	0.0118529
colon	4	3	0.0416476	0.0081729
comae	4	4	0.0102758	0.0097371
combs	4	4	0.0381961	0.0213346
comfy	4	5	0.0444473	0.0291449
comma	4	3	0.0381135	0.0168822
conks	4	4	0.0377406	0.0307501
conte	3	3	0.0302972	0.0155687
coofs	4	4	0.0379359	0.0239551
cools	3	4	0.0354639	0.0059937
cooly	4	4	0.0415328	0.003864
coops	4	4	0.0371334	0.0219987
coopt	3	3	0.0360419	0.0276432
